,Utterance,Cluster,Cluster Name
0,πρέπει έχω πάσο βάλω φοιτητικός,11,φοιτητικό πακέτο
1,θέλω κάνω διακανονισμός όλο ληξιπρόθεσμο,14,διακανονισμός οφειλής
2,θέλω χρόνος μιλάως,0,αγορά χρόνου ομιλίας
3,χρειάζομαι ανανέωση,16,ανανέωση
4,τo παραστατικός σταθερού μου,14,διακανονισμός οφειλής
5,τιμή νέος tablet,4,tablet
6,ενημερωθώ σχετικά διαθέσιμος υπόλοιπος μου,1,ενημέρωση υπολοίπου
7,κάνω αποπληρωμή λογαριασμός κινητό μου,2,λογαριασμός κινητού
8,έχω κάνω αίτηση φοιτητικός πακέτο,11,φοιτητικό πακέτο
9,θέλω απενεργοποιηθεί,19,απενεργοποίηση
10,tether,8,tethering
11,ραντεβού νέος σύνδεση,5,ραντεβού
12,κάνω παράπονο,6,παράπονο
13,θέλω εξοφλήσω τηλέφωνό μου,2,λογαριασμός κινητού
14,εξοφλώ κινητό μου,2,λογαριασμός κινητού
15,λογαριασμός τηλεόραση,13,βιντεοκλήση
16,θέλω βάλω πιο εύκολος κωδικός hotspot μου,17,hotspot
17,αγορά tablet,4,tablet
18,πώς μπορώ καταθέσω αίτηση,7,αίτηση
19,λογαριασμός ο τηλεόραση μου,13,βιντεοκλήση
20,αναλυτικός λογαριασμός,3,ανάλυση λογαριασμού
21,πού μπορώ βρω πληροφορία χρέος μου,10,χρέος
22,πόσος χρήμα χρωστάω συνολικά,10,χρέος
23,χρωστάω,10,χρέος
24,έχω κάνω διακανονισμός,14,διακανονισμός οφειλής
25,μπορώ πληροφορηθώ πώς μπορώ γίνομαι αίτηση,7,αίτηση
26,κάνω απενεργοποίηση,19,απενεργοποίηση
27,θέλω πραγματοποιήσω ανανέωση,16,ανανέωση
28,πρέπει μιλώ πωλήσεις,12,τμήμα πωλήσεων
29,θέλω δω πλήρης ανάλυση κλήσεων,15,ανάλυση κλήσεων
30,έχω ένας ραντεβού θέλω αλλάξω ώρα,5,ραντεβού
31,τηλέφωνό μου έχω καταχωρηθεί ως απόρρητο,2,λογαριασμός κινητού
32,θέλω κάνω διακανονισμός,14,διακανονισμός οφειλής
33,θέλω υπηρεσία σταθερός μου,18,υπηρεσία
34,θέλω ενεργοποιήσω πρόγραμμα δεδομένο,9,πρόγραμμα
35,βρήκα ένας κλήση από αυτός τηλέφωνος,2,λογαριασμός κινητού
36,κάνω απόρρητος τηλέφωνος,2,λογαριασμός κινητού
37,έχω καλέσει ένας προγραμματισμένο ραντεβού,5,ραντεβού
38,ζητώ εγώ ενεργοποιήσω,14,διακανονισμός οφειλής
39,ενημερώστε ανάλυση κλήσεων,9,πρόγραμμα
40,μου προσφέρω φοιτητικός πακέτο,11,φοιτητικό πακέτο
41,πώς μπορώ μάθω συνολικός χρέος μου,10,χρέος
42,θέλω κάνω αποπληρωμή λογαριασμός,3,ανάλυση λογαριασμού
43,θέλω αποπληρώσως οφειλή μου,10,χρέος
44,από πού μπορώ μάθω χρωστάω,10,χρέος
45,θέλω επιδότηση,10,χρέος
46,επιθυμώ δω πλήρης ανάλυση κλήσεων,15,ανάλυση κλήσεων
